member_casual;num_trip;Month;Year
casual;21416;2;2022
casual;40008;1;2023
casual;44894;12;2022
casual;89882;3;2022
casual;100773;11;2022
casual;126416;4;2022
casual;208992;10;2022
casual;280415;5;2022
casual;296693;9;2022
casual;358925;8;2022
casual;369048;6;2022
casual;406058;7;2022
member;94193;2;2022
member;136912;12;2022
member;150293;1;2023
member;194159;3;2022
member;236963;11;2022
member;244832;4;2022
member;349697;10;2022
member;354443;5;2022
member;400153;6;2022
member;404642;9;2022
member;417434;7;2022
member;427007;8;2022
