member_casual;num_trip;Month;Year;day_of_week
member;18375;2;2022;2
casual;2818;2;2022;7
casual;4206;2;2022;1
casual;2623;2;2022;4
member;11636;2;2022;5
casual;2787;2;2022;3
member;11959;2;2022;6
member;16257;2;2022;3
casual;2698;2;2022;6
casual;1879;2;2022;5
casual;4405;2;2022;2
member;9669;2;2022;7
member;14610;2;2022;4
member;11687;2;2022;1
casual;16577;3;2022;1
member;19652;3;2022;7
casual;14541;3;2022;4
member;22068;3;2022;1
member;35959;3;2022;4
member;29449;3;2022;2
member;32141;3;2022;5
casual;7157;3;2022;6
casual;10156;3;2022;3
member;20486;3;2022;6
casual;14984;3;2022;7
member;34404;3;2022;3
casual;12021;3;2022;5
casual;14446;3;2022;2
member;33928;4;2022;2
member;38593;4;2022;5
casual;14548;4;2022;3
casual;12062;4;2022;2
casual;16780;4;2022;5
member;40435;4;2022;3
member;35963;4;2022;6
casual;16845;4;2022;6
member;38070;4;2022;7
casual;10457;4;2022;4
casual;36328;4;2022;7
casual;19396;4;2022;1
member;25460;4;2022;1
member;32383;4;2022;4
member;51656;5;2022;5
member;44992;5;2022;7
casual;33399;5;2022;5
member;62064;5;2022;2
casual;47473;5;2022;2
casual;24063;5;2022;4
member;48773;5;2022;1
member;45098;5;2022;4
casual;55333;5;2022;1
casual;52844;5;2022;7
member;42317;5;2022;6
casual;35065;5;2022;3
casual;32238;5;2022;6
member;59543;5;2022;3
member;49068;6;2022;1
casual;37009;6;2022;2
casual;65869;6;2022;1
casual;65128;6;2022;7
casual;48388;6;2022;4
member;68791;6;2022;4
member;49696;6;2022;7
member;46791;6;2022;2
casual;57969;6;2022;5
member;73498;6;2022;5
casual;55861;6;2022;6
member;54987;6;2022;3
member;57322;6;2022;6
casual;38824;6;2022;3
member;57526;7;2022;3
casual;78265;7;2022;1
casual;42850;7;2022;4
member;61152;7;2022;5
casual;41457;7;2022;3
member;49850;7;2022;2
casual;95220;7;2022;7
casual;56506;7;2022;6
member;59610;7;2022;4
casual;47789;7;2022;5
casual;43971;7;2022;2
member;61639;7;2022;6
member;58787;7;2022;1
member;68870;7;2022;7
member;57508;8;2022;5
member;76615;8;2022;4
casual;66186;8;2022;7
member;42977;8;2022;1
member;51890;8;2022;7
casual;51493;8;2022;4
casual;42346;8;2022;5
casual;42365;8;2022;2
member;62603;8;2022;2
member;76718;8;2022;3
casual;56861;8;2022;6
member;58696;8;2022;6
casual;51507;8;2022;3
casual;48167;8;2022;1
member;54018;9;2022;7
casual;36270;9;2022;1
member;61509;9;2022;4
casual;64073;9;2022;7
member;35750;9;2022;1
casual;33505;9;2022;4
member;72332;9;2022;6
member;76582;9;2022;5
casual;56379;9;2022;6
casual;29583;9;2022;3
member;47418;9;2022;2
casual;31054;9;2022;2
member;57033;9;2022;3
casual;45829;9;2022;5
member;50378;10;2022;1
casual;44697;10;2022;1
casual;20593;10;2022;4
member;39749;10;2022;3
member;45020;10;2022;6
casual;15693;10;2022;3
casual;25978;10;2022;6
casual;27234;10;2022;2
casual;22584;10;2022;5
member;48887;10;2022;4
member;49245;10;2022;5
casual;52213;10;2022;7
member;58131;10;2022;7
member;58287;10;2022;2
casual;15805;11;2022;3
member;39129;11;2022;5
casual;14536;11;2022;6
member;32306;11;2022;2
member;46108;11;2022;3
casual;17983;11;2022;5
member;30323;11;2022;6
casual;10301;11;2022;2
member;21211;11;2022;1
member;47447;11;2022;4
member;20439;11;2022;7
casual;17780;11;2022;4
casual;12500;11;2022;1
casual;11868;11;2022;7
member;16879;12;2022;7
casual;8177;12;2022;5
casual;4936;12;2022;2
member;20161;12;2022;4
member;27094;12;2022;5
casual;7686;12;2022;7
member;18891;12;2022;2
casual;7157;12;2022;6
casual;5917;12;2022;3
member;12117;12;2022;1
member;19662;12;2022;6
casual;5677;12;2022;4
casual;5344;12;2022;1
member;22108;12;2022;3
casual;6904;1;2023;3
member;14781;1;2023;7
member;15990;1;2023;1
casual;5011;1;2023;6
member;24744;1;2023;4
casual;5697;1;2023;2
member;22650;1;2023;2
casual;5976;1;2023;4
casual;5025;1;2023;5
member;22645;1;2023;5
member;20107;1;2023;6
casual;5017;1;2023;7
member;29376;1;2023;3
casual;6378;1;2023;1
