member_casual;start_station_name;num_start_Station
casual;Streeter Dr & Grand Ave;58270
casual;DuSable Lake Shore Dr & Monroe St;31981
casual;Millennium Park;25681
casual;Michigan Ave & Oak St;25326
member;Kingsbury St & Kinzie St;25239
casual;DuSable Lake Shore Dr & North Blvd;23700
member;Clark St & Elm St;22515
member;Wells St & Concord Ln;21595
member;University Ave & 57th St;21151
member;Clinton St & Washington Blvd;20631
member;Ellis Ave & 60th St;20574
casual;Shedd Aquarium;20485
member;Loomis St & Lexington St;19551
member;Wells St & Elm St;19408
member;Clinton St & Madison St;19254
casual;Theater on the Lake;18471
member;Broadway & Barry Ave;18030
member;Streeter Dr & Grand Ave;17236
member;Dearborn St & Erie St;16901
member;St. Clair St & Erie St;16722
member;Wells St & Huron St;16652
member;DuSable Lake Shore Dr & North Blvd;16490
member;Canal St & Adams St;16439
casual;Wells St & Concord Ln;16343
member;Wells St & Hubbard St;16216
member;Wabash Ave & Grand Ave;16195
member;Wilton Ave & Belmont Ave;16032
member;Ellis Ave & 55th St;16032
member;Clark St & Wrightwood Ave;15832
member;Sheffield Ave & Fullerton Ave;15595
member;Clark St & Armitage Ave;15495
member;Ashland Ave & Division St;14655
member;Green St & Madison St;14623
member;Theater on the Lake;14567
member;Clinton St & Jackson Blvd;14509
member;Michigan Ave & Oak St;14507
member;Desplaines St & Kinzie St;14277
member;Larrabee St & Kingsbury St;14247
member;Broadway & Waveland Ave;14246
casual;Dusable Harbor;14138
member;Dearborn Pkwy & Delaware Pl;14055
member;Clark St & Lincoln Ave;14034
member;State St & Chicago Ave;13977
member;Clark St & Drummond Pl;13955
member;Halsted St & Clybourn Ave;13950
casual;Clark St & Armitage Ave;13865
casual;Indiana Ave & Roosevelt Rd;13783
member;Indiana Ave & Roosevelt Rd;13745
member;LaSalle St & Illinois St;13462
member;Broadway & Cornelia Ave;13456
casual;Clark St & Lincoln Ave;13450
member;Morgan St & Polk St;13359
member;Wabash Ave & Roosevelt Rd;13342
member;Halsted St & Polk St;13284
member;Clinton St & Lake St;13279
member;Michigan Ave & Washington St;13181
casual;Clark St & Elm St;13118
member;State St & 33rd St;13032
member;Peoria St & Jackson Blvd;12675
casual;Montrose Harbor;12674
member;Pine Grove Ave & Waveland Ave;12641
member;Damen Ave & Pierce Ave;12606
casual;Wells St & Elm St;12546
member;Lincoln Ave & Fullerton Ave;12541
member;Halsted St & Roscoe St;12477
member;Lakeview Ave & Fullerton Pkwy;12457
member;Kingsbury St & Erie St;12444
member;Larrabee St & Webster Ave;12425
member;Michigan Ave & Lake St;12387
member;Halsted St & Wrightwood Ave;12372
member;Dearborn St & Monroe St;12305
member;Southport Ave & Roscoe St;12258
casual;Clark St & Newport St;12196
member;Clark St & Schiller St;12196
casual;Broadway & Barry Ave;12175
member;DuSable Lake Shore Dr & Diversey Pkwy;12055
member;Orleans St & Merchandise Mart Plaza;12052
member;Sheridan Rd & Irving Park Rd;11917
member;Clark St & Newport St;11892
casual;Wabash Ave & Grand Ave;11828
casual;Wilton Ave & Belmont Ave;11707
member;McClurg Ct & Ohio St;11646
member;Fairbanks Ct & Grand Ave;11597
member;Kimbark Ave & 53rd St;11536
casual;Adler Planetarium;11529
member;Columbus Dr & Randolph St;11512
member;Federal St & Polk St;11464
casual;Michigan Ave & 8th St;11455
member;Franklin St & Chicago Ave;11419
casual;Michigan Ave & Washington St;11387
member;Wells St & Evergreen Ave;11312
member;Southport Ave & Waveland Ave;11305
member;Sheffield Ave & Waveland Ave;11193
member;Franklin St & Monroe St;11178
member;Ravenswood Ave & Lawrence Ave;11169
member;State St & Randolph St;11109
member;New St & Illinois St;11087
member;May St & Taylor St;11087
member;Wilton Ave & Diversey Pkwy;11047
member;Sheffield Ave & Webster Ave;10964
